,Title,Domestic,International,Genre,Month,Day,Year,MPAA,total_minutes,Budget,days_in_release,Week,Revenue,release_dayofweek,month_sin_1,month_cos_1,month_sin_2,month_cos_2,month_sin_3,month_cos_3,month_sin_4,month_cos_4
334,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,1,456554,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
1028,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,2,202922,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
1722,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,3,444720,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
2416,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,4,277626,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
3110,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,5,160554,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
3804,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,6,105831,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
4498,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,7,60809,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
5192,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,8,39620,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
5886,"10,000 BC",94784201,175000000,Action Adventure Drama Fantasy History,3,7,2008,PG-13,109,105000000,300,9,22663127,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
589,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,1,1360729,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
1283,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,2,511827,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
1977,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,3,220388,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2671,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,4,89825,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
3365,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,5,112330,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
4059,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,6,56859,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
4753,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,7,21124610,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
5447,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,8,11468943,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
6141,12 Strong,45819713,21539477,Action Drama History War,1,19,2018,R,130,,347,9,6676626,4,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
190,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,1,111955,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
884,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,2,141526,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
1578,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,3,150746,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
2272,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,4,304270,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
2966,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,5,266662,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
3660,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,6,326657,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
4354,13 Conversations About One Thing,3288164,418488,Drama,5,24,2002,R,104,,224,7,369485,4,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983
