,Month,Day,Year,total_minutes,Week,release_dayofweek,month_sin,month_cos,Action,Adventure,Comedy,Crime,Documentary,Drama,Fantasy,Romance,Sci-Fi,Thriller,MPAA_G,MPAA_NC-17,MPAA_PG,MPAA_PG-13,MPAA_R,total_revenue,target,movie_id
9,3,31,21,-0.6690597411089402,1,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,2.8211776394867947,1
10,3,31,21,-0.6690597411089402,2,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.5061268819411002,1
11,3,31,21,-0.6690597411089402,3,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.2275119313667394,1
12,3,31,21,-0.6690597411089402,4,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.2970312590365862,1
13,3,31,21,-0.6690597411089402,5,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.3317668143879963,1
14,3,31,21,-0.6690597411089402,6,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.35721647927458533,1
15,3,31,21,-0.6690597411089402,7,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.21780323393517176,1
16,3,31,21,-0.6690597411089402,8,2,1.0,6.123233995736766e-17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.44846920916312427,-0.2866898733946758,1
18,3,7,30,-0.07410342255581832,1,4,1.0,6.123233995736766e-17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.4915408898211046,-0.42168961120356163,2
19,3,7,30,-0.07410342255581832,2,4,1.0,6.123233995736766e-17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.4915408898211046,278.0594504029797,2
20,3,7,30,-0.07410342255581832,3,4,1.0,6.123233995736766e-17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.4915408898211046,-0.9991157061458044,2
21,3,7,30,-0.07410342255581832,4,4,1.0,6.123233995736766e-17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.4915408898211046,10.224634023220595,2
22,3,7,30,-0.07410342255581832,5,4,1.0,6.123233995736766e-17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.4915408898211046,0.026610001798884692,2
